Time,X,Y,Z,Zrange,Gas1L,Gas1R
83740,0.4055698216,0.5245172381,0.2987013161,301,18191,17987
83750,0.4038337767,0.5227060914,0.2997654974,301,18191,17987
83760,0.4019736946,0.5224248171,0.3000848591,301,18191,17987
83770,0.4001632333,0.5220623016,0.3003935516,301,18191,17987
83780,0.3990573287,0.5216891766,0.3008693159,301,18191,17987
83790,0.3974579275,0.5170373917,0.3008601964,301,18191,17987
83800,0.3957174122,0.5168732405,0.3013102114,301,18191,17987
83810,0.3947123587,0.5153644085,0.3016206622,301,18191,17987
83820,0.3919674158,0.5137965083,0.3015222549,301,18191,17987
83830,0.3913891912,0.5134475231,0.3021842539,302,18191,17987
83840,0.3898202479,0.5129539371,0.3025286794,302,18191,17987
83850,0.3882528841,0.5132434368,0.3029572964,302,18191,17987
83860,0.3866248429,0.5107899904,0.3030249178,302,18191,17987
83870,0.3840035498,0.5078864694,0.3026736975,302,18191,17987
83880,0.3833268285,0.5083485842,0.3034773767,303,18191,17987
83890,0.3810803592,0.5055037737,0.3033213913,303,18191,17987
83900,0.3799543083,0.5055674314,0.3038868308,303,18191,17987
83910,0.3783940077,0.5047050714,0.3041234314,303,18191,17987
83920,0.3774391115,0.5048336387,0.3035802543,302,18191,17987
83930,0.3750811219,0.5041527748,0.3035991192,302,18191,17987
83940,0.3742377460,0.5021560192,0.3038946986,302,18191,17987
83950,0.3708157241,0.4976940155,0.3031011522,302,18195,17987
83960,0.3701339960,0.4972403646,0.3037196994,304,18195,17987
83970,0.3680601716,0.4954235256,0.3037348986,304,18195,17987
83980,0.3669557273,0.4944491982,0.3039631546,304,18195,17987
83990,0.3651675284,0.4934851825,0.3041278124,304,18195,17987
84000,0.3643651903,0.4939450026,0.3047482967,304,18195,17987
84010,0.3618873358,0.4913481176,0.3030054271,301,18195,17987
84020,0.3609502614,0.4913350344,0.3032800257,301,18195,17987
84030,0.3587089479,0.4903457165,0.3031254411,301,18195,17987
84040,0.3583374321,0.4909112155,0.3036122620,301,18195,17987
84050,0.3570688069,0.4908131957,0.3038112819,304,18195,17987
84060,0.3552051783,0.4904252887,0.3037597537,304,18195,17987
84070,0.3519876599,0.4864755869,0.3035627007,304,18195,17987
84080,0.3515227139,0.4847925007,0.3037924469,304,18195,17987
84090,0.3487413228,0.4826965928,0.3033494353,304,18195,17987
84100,0.3472896516,0.4820117950,0.3033398688,303,18195,17987
84110,0.3457076550,0.4809731245,0.3033763170,303,18195,17987
84120,0.3442210853,0.4802582264,0.3035024107,303,18195,17987
84130,0.3428735733,0.4803439677,0.3038107455,303,18195,17987
84140,0.3401310146,0.4779592454,0.3031877577,303,18195,17987
84150,0.3384460211,0.4759950340,0.3030450940,303,18195,17987
84160,0.3370679319,0.4757722020,0.3032452464,303,18195,17987
84170,0.3358305395,0.4760507941,0.3035019338,303,18195,17987
84180,0.3333299160,0.4747479856,0.3032476902,305,18195,17987
84190,0.3313677907,0.4698610604,0.3036865592,305,18195,17987
84200,0.3291637599,0.4664785266,0.3031288087,305,18195,17993
84210,0.3279576898,0.4674191177,0.3041228950,305,18195,17993
84220,0.3259003758,0.4657761157,0.3040226996,305,18195,17993
84230,0.3250556588,0.4652651846,0.3026806712,300,18195,17993
84240,0.3225039244,0.4652076066,0.3027171195,300,18195,17993
84250,0.3214909732,0.4630622566,0.3027308583,300,18195,17993
84260,0.3193061650,0.4606304169,0.3023861945,300,18195,17993
84270,0.3183578551,0.4606303573,0.3016838729,300,18195,17993
84280,0.3162041306,0.4603205323,0.3016223013,300,18195,17993
84290,0.3146363795,0.4584759772,0.3014743328,300,18195,17993
84300,0.3135816753,0.4580433667,0.3016070724,300,18195,17993
84310,0.3114178181,0.4542415738,0.3010882437,300,18195,17993
84320,0.3100086153,0.4510972500,0.2994624078,298,18195,17993
84330,0.3088513017,0.4518564939,0.2998635471,298,18195,17993
84340,0.3073040545,0.4502322078,0.2996635437,298,18195,17993
84350,0.3049759865,0.4496814311,0.2995224893,298,18195,17993
84360,0.3038574755,0.4499444664,0.2994832695,299,18195,17993
84370,0.3012259603,0.4439620376,0.2986842990,299,18195,17993
84380,0.3006557524,0.4435406327,0.2990023196,299,18195,17993
84390,0.2984263301,0.4401895106,0.2982371747,299,18195,17993
84400,0.2972277105,0.4408737123,0.2988537550,304,18195,17993
84410,0.2949307561,0.4383178651,0.3005793393,304,18195,17993
84420,0.2945600152,0.4388789237,0.3011771142,304,18195,17993
84430,0.2920137942,0.4326544106,0.3003858328,304,18195,17993
84440,0.2909854650,0.4323022068,0.3009690344,304,18195,17993
84450,0.2893959582,0.4320310950,0.3012230694,301,18196,17993
84460,0.2877568007,0.4326296747,0.3015648723,301,18196,17993
84470,0.2862000167,0.4300887883,0.3015019000,301,18196,17993
84480,0.2839039564,0.4260190129,0.3009876907,301,18196,17993
84490,0.2821323276,0.4231373668,0.3028551936,306,18196,17993
84500,0.2802700996,0.4233855605,0.3033763468,306,18196,17993
84510,0.2785085142,0.4220639169,0.3035609424,306,18196,17993
84520,0.2776295543,0.4220359921,0.3042275310,306,18196,17993
84530,0.2761120796,0.4222901165,0.3046866655,306,18196,17993
84540,0.2738009691,0.4197791815,0.3052850962,306,18196,17993
84550,0.2732182443,0.4157678485,0.3054124117,306,18196,17993
84560,0.2706918120,0.4129603207,0.3052514791,306,18196,17993
84570,0.2700722814,0.4125076532,0.3061005771,306,18196,17993
84580,0.2684509754,0.4119454622,0.3060088754,305,18196,17993
84590,0.2667905986,0.4121704102,0.3064342737,305,18196,17993
84600,0.2641693354,0.4122877121,0.3066134751,305,18196,17993
84610,0.2631663680,0.4056385458,0.3064643145,305,18196,17993
84620,0.2602664530,0.4035269022,0.3052192628,304,18196,17993
84630,0.2602212727,0.4022244811,0.3057691455,304,18196,17993
84640,0.2576752007,0.4028874338,0.3061182499,304,18196,17993
84650,0.2579368353,0.4014101624,0.3066946864,304,18196,17993
84660,0.2556726038,0.4014443159,0.3068241775,304,18196,17993
84670,0.2541358769,0.3958387375,0.3066616058,307,18196,17993
84680,0.2517017424,0.3934020698,0.3063448071,307,18196,17993
