Time,X,Y,Z,DiffX,DiffY,DiffZ,Zrange,Gas1L,Gas1R
2130,3.5648827553,-6.0374073982,0.0228899270,-0.0321633816,0.1287841797,0.0006875265,23,19564,19409
2140,3.5628714561,-6.0306668282,0.0228988137,-0.0341746807,0.1355247498,0.0006964132,23,19564,19408
2150,3.5628738403,-6.0306677818,0.0228629280,-0.0341722965,0.1355237961,0.0006605275,23,19564,19408
2160,3.5638890266,-6.0342435837,0.0228266120,-0.0331571102,0.1319479942,0.0006242115,23,19564,19408
2170,3.5633597374,-6.0337619781,0.0227844305,-0.0336863995,0.1324295998,0.0005820300,23,19564,19408
2180,3.5636174679,-6.0343508720,0.0224366579,-0.0334286690,0.1318407059,0.0002342574,22,19564,19408
2190,3.5627143383,-6.0342345238,0.0223756284,-0.0343317986,0.1319570541,0.0001732279,22,19564,19408
2200,3.5627298355,-6.0343151093,0.0223067459,-0.0343163013,0.1318764687,0.0001043454,22,19564,19408
2210,3.5629429817,-6.0368895531,0.0222329814,-0.0341031551,0.1293020248,0.0000305809,22,19564,19408
2220,3.5633075237,-6.0357480049,0.0221420061,-0.0337386131,0.1304435730,-0.0000603944,22,19564,19408
2230,3.5630838871,-6.0341072083,0.0228215139,-0.0339622498,0.1320843697,0.0006191134,24,19564,19408
2240,3.5624213219,-6.0325093269,0.0227630977,-0.0346248150,0.1336822510,0.0005606972,24,19564,19408
2250,3.5570983887,-6.0167508125,0.0226853658,-0.0399477482,0.1494407654,0.0004829653,24,19564,19408
2261,3.5592479706,-6.0233240128,0.0226228070,-0.0377981663,0.1428675652,0.0004204065,24,19564,19408
2270,3.5590121746,-6.0172944069,0.0231105648,-0.0380339622,0.1488971710,0.0009081643,24,19564,19408
2280,3.5604665279,-6.0202784538,0.0230644383,-0.0365796089,0.1459131241,0.0008620378,24,19564,19408
2290,3.5671651363,-6.0397667885,0.0230385624,-0.0298810005,0.1264247894,0.0008361619,24,19564,19408
2300,3.5672314167,-6.0392422676,0.0230125133,-0.0298147202,0.1269493103,0.0008101128,24,19564,19408
2310,3.5672392845,-6.0408253670,0.0229768157,-0.0298068523,0.1253662109,0.0007744152,23,19564,19408
2320,3.5672469139,-6.0408658981,0.0229307897,-0.0297992229,0.1253256798,0.0007283892,23,19564,19408
2330,3.5700266361,-6.0471963882,0.0228874292,-0.0270195007,0.1189951897,0.0006850287,23,19564,19408
2340,3.5700266361,-6.0471963882,0.0228874292,-0.0270195007,0.1189951897,0.0006850287,23,19564,19408
2350,3.5678784847,-6.0410490036,0.0227591433,-0.0291676521,0.1251425743,0.0005567428,23,19564,19408
2360,3.5717151165,-6.0502352715,0.0232198592,-0.0253310204,0.1159563065,0.0010174587,24,19564,19408
2370,3.5716958046,-6.0431070328,0.0231682155,-0.0253503323,0.1230845451,0.0009658150,24,19564,19408
2380,3.5721945763,-6.0428915024,0.0231159534,-0.0248515606,0.1233000755,0.0009135529,24,19564,19408
2390,3.5715737343,-6.0412163734,0.0231143665,-0.0254724026,0.1249752045,0.0009119660,24,19557,19408
2400,3.5718035698,-6.0460271835,0.0230545383,-0.0252425671,0.1201643944,0.0008521378,25,19557,19408
2410,3.5717873573,-6.0459837914,0.0238035843,-0.0252587795,0.1202077866,0.0016011838,25,19557,19408
2420,3.5723447800,-6.0467052460,0.0237740781,-0.0247013569,0.1194863319,0.0015716776,25,19557,19408
2430,3.5741295815,-6.0509433746,0.0237799492,-0.0229165554,0.1152482033,0.0015775487,25,19557,19408
2440,3.5743005276,-6.0567584038,0.0237645581,-0.0227456093,0.1094331741,0.0015621576,25,19557,19408
2450,3.5743038654,-6.0567593575,0.0238473415,-0.0227422714,0.1094322205,0.0016449410,24,19557,19408
2460,3.5743627548,-6.0569391251,0.0238212105,-0.0226833820,0.1092524529,0.0016188100,24,19557,19408
2470,3.5743534565,-6.0569591522,0.0237961747,-0.0226926804,0.1092324257,0.0015937742,24,19557,19408
2480,3.5736260414,-6.0569672585,0.0237789936,-0.0234200954,0.1092243195,0.0015765931,24,19557,19408
2490,3.5714447498,-6.0511174202,0.0238955114,-0.0256013870,0.1150741577,0.0016931109,24,19557,19408
2500,3.5707147121,-6.0474681854,0.0238477550,-0.0263314247,0.1187233925,0.0016453546,24,19557,19408
2510,3.5702099800,-6.0447392464,0.0238044150,-0.0268361568,0.1214523315,0.0016020145,24,19557,19408
2520,3.5702059269,-6.0447478294,0.0237466749,-0.0268402100,0.1214437485,0.0015442744,24,19557,19408
