Time,X,Y,Z,Zrange,Gas1L,Gas1R
3180,-0.0074051507,-0.0412531681,0.1551210135,129,18807,18649
3190,-0.0073685031,-0.0450067222,0.1585156918,129,18807,18649
3200,-0.0071623689,-0.0460262336,0.1617498845,129,18807,18649
3210,-0.0066545852,-0.0492494926,0.1643523127,129,18807,18649
3220,-0.0054417253,-0.0453127883,0.1549846679,138,18807,18649
3230,-0.0050382721,-0.0471534766,0.1571702808,138,18807,18649
3240,-0.0048489319,-0.0488800555,0.1583725512,138,18807,18649
3250,-0.0034114060,-0.0557037592,0.1609834731,138,18807,18649
3260,-0.0034502938,-0.0527677722,0.1535443962,140,18807,18649
3270,-0.0016962778,-0.0591485389,0.1542358845,140,18807,18649
3280,-0.0023799206,-0.0592300445,0.1550896913,140,18807,18649
3290,-0.0002600757,-0.0611498728,0.1541007310,140,18807,18649
3300,0.0006123447,-0.0627659485,0.1532240957,140,18807,18649
3310,0.0018270691,-0.0638869703,0.1447265148,135,18807,18653
3320,0.0015199515,-0.0651734918,0.1436859518,135,18807,18653
3330,0.0030863488,-0.0658197254,0.1417692304,135,18807,18653
3340,0.0041170185,-0.0688738450,0.1402665973,135,18807,18653
3350,0.0045175506,-0.0699331611,0.1310973018,120,18807,18653
3360,0.0048115384,-0.0699309111,0.1291329712,120,18807,18653
3370,0.0046264310,-0.0696540028,0.1268648654,120,18807,18653
3380,0.0087860450,-0.0712184310,0.1246635094,120,18807,18653
3390,0.0082062976,-0.0721306577,0.1245688498,107,18807,18653
3400,0.0099192504,-0.0740146935,0.1150394753,107,18807,18653
3410,0.0087544229,-0.0715912133,0.1144312993,107,18807,18653
3420,0.0104033835,-0.0715224147,0.1118166894,107,18807,18653
3430,0.0112738274,-0.0724664852,0.1116022542,107,18807,18653
3440,0.0129940584,-0.0739560723,0.1026290953,92,18807,18653
3450,0.0128596304,-0.0734504685,0.1014379263,92,18807,18653
3460,0.0143752191,-0.0741991028,0.0998356640,92,18807,18653
3470,0.0147430981,-0.0749617219,0.0984776616,92,18807,18653
3480,0.0163009986,-0.0758189112,0.0909173936,82,18807,18653
3490,0.0165235642,-0.0752377361,0.0898960307,82,18807,18653
3500,0.0174127277,-0.0752935931,0.0882922411,82,18807,18653
3510,0.0177970473,-0.0749660805,0.0868814588,82,18807,18653
3520,0.0188566521,-0.0744412169,0.0853221342,82,18807,18653
3530,0.0189586729,-0.0744791403,0.0835096240,81,18807,18653
3540,0.0202408619,-0.0744693726,0.0828675777,81,18807,18653
3550,0.0201076623,-0.0744631812,0.0827300400,81,18812,18653
3560,0.0211921651,-0.0733640790,0.0826629624,81,18812,18653
3570,0.0216987599,-0.0730338991,0.0800319016,77,18812,18653
3580,0.0221776962,-0.0721985772,0.0792245343,77,18812,18653
3590,0.0224261358,-0.0718665421,0.0805785060,77,18812,18653
3600,0.0227956101,-0.0719430447,0.0813532844,77,18812,18653
3611,0.0228117537,-0.0704003125,0.0808705613,77,18812,18653
3620,0.0230303649,-0.0695960596,0.0812742859,77,18812,18653
3630,0.0233601462,-0.0692048743,0.0831073448,77,18812,18653
3640,0.0234748442,-0.0676765144,0.0833531469,77,18812,18653
3650,0.0240162816,-0.0666508824,0.0848404765,77,18812,18653
3660,0.0239203237,-0.0668459311,0.0869589821,83,18812,18653
3670,0.0242176279,-0.0636776909,0.0898233801,83,18812,18653
3680,0.0244789626,-0.0629080087,0.0964277089,83,18812,18653
3690,0.0247246437,-0.0616403483,0.0981142223,83,18812,18653
3700,0.0245774742,-0.0616303310,0.0957846344,87,18812,18653
3710,0.0242286231,-0.0613040924,0.0980063528,87,18812,18653
3720,0.0243238546,-0.0600516126,0.1003486887,87,18812,18653
3730,0.0239486117,-0.0588064343,0.1021691263,87,18812,18653
3740,0.0237893853,-0.0587358437,0.1061282232,87,18812,18653
3750,0.0233874582,-0.0564823151,0.1077943072,105,18812,18653
3760,0.0231481344,-0.0553380586,0.1102265567,105,18812,18653
3770,0.0227339305,-0.0550545827,0.1140209436,105,18812,18653
3780,0.0223825146,-0.0547168665,0.1167220026,105,18812,18653
3790,0.0217787307,-0.0533328950,0.1167868078,112,18812,18653
3800,0.0214566216,-0.0523989461,0.1194640696,112,18812,18665
3810,0.0210881177,-0.0519910976,0.1223738864,112,18812,18665
3820,0.0207452085,-0.0515932627,0.1250949800,112,18812,18665
3830,0.0203476399,-0.0518029854,0.1275941283,133,18812,18665
3840,0.0201627426,-0.0515016802,0.1322856843,133,18812,18665
3850,0.0184098650,-0.0497823320,0.1359502822,133,18812,18665
3860,0.0179245509,-0.0494397543,0.1389943957,133,18812,18665
3870,0.0174863692,-0.0483415611,0.1420376897,133,18812,18665
3880,0.0173288882,-0.0477926508,0.1462787539,148,18812,18665
3890,0.0169878826,-0.0476775281,0.1492869556,148,18812,18665
3900,0.0166489724,-0.0479606539,0.1522003859,148,18812,18665
3910,0.0153115513,-0.0474918298,0.1551926881,148,18812,18665
3920,0.0151270758,-0.0469284803,0.1543411016,148,18812,18665
3930,0.0146421334,-0.0461346358,0.1569892913,148,18812,18665
3940,0.0144826993,-0.0457640775,0.1596446186,148,18812,18665
3950,0.0142868813,-0.0457792282,0.1622724682,148,18812,18665
3960,0.0140567860,-0.0453913622,0.1648284048,148,18812,18665
3970,0.0141511448,-0.0454211123,0.1683599204,170,18812,18665
3980,0.0142594036,-0.0459227785,0.1708290279,170,18812,18665
3990,0.0117850751,-0.0448521487,0.1740054488,170,18812,18665
4000,0.0134679954,-0.0449283719,0.1772281975,170,18812,18665
4010,0.0135213397,-0.0452901237,0.1794045120,179,18812,18665
4020,0.0099340901,-0.0390194431,0.1829868108,179,18812,18665
4030,0.0098829074,-0.0387909450,0.1862213165,179,18812,18665
4040,0.0103699174,-0.0382549092,0.1891163290,179,18812,18665
4050,0.0105722705,-0.0374524966,0.1915859282,190,18816,18665
4060,0.0103759905,-0.0378731117,0.1937548518,190,18816,18665
4070,0.0107017523,-0.0385773107,0.1963267177,190,18816,18665
4080,0.0114677846,-0.0389476977,0.1985714883,190,18816,18665
4090,0.0121512711,-0.0398309007,0.2005663812,190,18816,18665
4100,0.0117293438,-0.0384982191,0.2027497292,202,18816,18665
4110,0.0126975263,-0.0389603004,0.2047313899,202,18816,18665
4120,0.0124367690,-0.0385016799,0.2069884688,202,18816,18665
4130,0.0120208589,-0.0403985903,0.2088480741,202,18816,18665
4140,0.0103608193,-0.0396841280,0.2122812569,214,18816,18665
4150,0.0103433989,-0.0389814600,0.2143938839,214,18816,18665
4160,0.0098293982,-0.0386889055,0.2163338363,214,18816,18665
4170,0.0106643960,-0.0425153859,0.2182243466,214,18816,18665
4180,0.0105997389,-0.0424147099,0.2202873528,214,18816,18665
