Time,X,Y,Z
1532,1.2543833256,2.0834655762,0.0134293018
1542,1.2543689013,2.0834689140,0.0127644287
1552,1.2549673319,2.0821864605,0.0126941772
1560,1.2575457096,2.0830402374,0.0125904744
1570,1.2577961683,2.0844845772,0.0124877235
1580,1.2577191591,2.0830495358,0.0130209113
1590,1.2577295303,2.0847389698,0.0130176116
1600,1.2560155392,2.0843586922,0.0129566807
1611,1.2567753792,2.0838100910,0.0128902383
1621,1.2559207678,2.0834479332,0.0128258197
1632,1.2570575476,2.0834681988,0.0123946769
1642,1.2570544481,2.0834636688,0.0122976005
1653,1.2583620548,2.0826861858,0.0122094816
1661,1.2580407858,2.0823385715,0.0120988963
1671,1.2575914860,2.0830707550,0.0119914887
1682,1.2570997477,2.0835435390,0.0119002685
1692,1.2572942972,2.0839593410,0.0117810173
1700,1.2572419643,2.0839262009,0.0116664860
1710,1.2577329874,2.0834431648,0.0132987034
1721,1.2598717213,2.0841569901,0.0132627813
1732,1.2598857880,2.0825209618,0.0132420948
1742,1.2598496675,2.0831253529,0.0131966341
1750,1.2601642609,2.0827426910,0.0131508047
1760,1.2602131367,2.0827572346,0.0147304768
1770,1.2602142096,2.0827548504,0.0147746000
1780,1.2603682280,2.0820467472,0.0148178395
1790,1.2600164413,2.0826263428,0.0148641244
1800,1.2604647875,2.0817029476,0.0137467254
1810,1.2624694109,2.0815188885,0.0137113733
1820,1.2609566450,2.0807862282,0.0136812199
1830,1.2614504099,2.0803029537,0.0136458157
1840,1.2606248856,2.0799186230,0.0136204232
1850,1.2600533962,2.0797934532,0.0137449112
1860,1.2600522041,2.0797908306,0.0137086920
1870,1.2612539530,2.0812816620,0.0136534134
1880,1.2612526417,2.0812802315,0.0136071779
1890,1.2608320713,2.0810689926,0.0149611775
1902,1.2606198788,2.0785570145,0.0149844531
1910,1.2602510452,2.0803601742,0.0150096416
1920,1.2599675655,2.0806276798,0.0150316870
1931,1.2602322102,2.0805799961,0.0130796479
1940,1.2592239380,2.0799138546,0.0129986238
1950,1.2597452402,2.0792753696,0.0128969569
1960,1.2603970766,2.0793526173,0.0127886459
1970,1.2598513365,2.0801706314,0.0126889767
1980,1.2601914406,2.0797996521,0.0139848115
1990,1.2601917982,2.0797977448,0.0139488988
2000,1.2601938248,2.0797972679,0.0139094898
2010,1.2601710558,2.0809917450,0.0138475876
2021,1.2596523762,2.0814597607,0.0150579885
2030,1.2601544857,2.0808179379,0.0150748380
2040,1.2608932257,2.0816187859,0.0150851794
2050,1.2613456249,2.0814454556,0.0150977354
2061,1.2612547874,2.0810842514,0.0151289832
2070,1.2613523006,2.0803124905,0.0142805753
2080,1.2621774673,2.0805654526,0.0142213069
2090,1.2617956400,2.0809071064,0.0141948666
2101,1.2619554996,2.0808315277,0.0141707417
2110,1.2620644569,2.0815858841,0.0148829510
2120,1.2620759010,2.0815863609,0.0148739265
2130,1.2617706060,2.0813689232,0.0148648918
2140,1.2621027231,2.0818028450,0.0148499086
2150,1.2618408203,2.0816314220,0.0148260463
2160,1.2613360882,2.0816805363,0.0144731747
2170,1.2606058121,2.0812118053,0.0144567164
2180,1.2605062723,2.0809438229,0.0144220944
2190,1.2603584528,2.0809168816,0.0143699050
2200,1.2603220940,2.0805871487,0.0141855041
2210,1.2603412867,2.0805687904,0.0141091039
2220,1.2603883743,2.0805425644,0.0140360594
2230,1.2603925467,2.0805432796,0.0139734922
2240,1.2606332302,2.0810286999,0.0138970716
2250,1.2613511086,2.0814652443,0.0130142719
2260,1.2613700628,2.0815157890,0.0128886746
2270,1.2621525526,2.0809581280,0.0127632823
2280,1.2630606890,2.0815441608,0.0126340957
2290,1.2625653744,2.0817048550,0.0134860156
2300,1.2631670237,2.0809965134,0.0133822383
2310,1.2631649971,2.0819125175,0.0132947247
2320,1.2623732090,2.0815126896,0.0132636763
2330,1.2627509832,2.0820105076,0.0130949672
2340,1.2617502213,2.0818145275,0.0129240472
2350,1.2620790005,2.0823664665,0.0128749991
2360,1.2621496916,2.0823338032,0.0128222238
2370,1.2622097731,2.0823750496,0.0127159124
2380,1.2624645233,2.0826642513,0.0127040055
2390,1.2621395588,2.0824382305,0.0129516376
2400,1.2623397112,2.0828380585,0.0128599983
2410,1.2631688118,2.0820980072,0.0129280733
2420,1.2623707056,2.0820753574,0.0129824942
2430,1.2619068623,2.0818421841,0.0129923047
2440,1.2616494894,2.0817770958,0.0130419685
2450,1.2621595860,2.0816190243,0.0128642404
2460,1.2626150846,2.0822603703,0.0126986178
2470,1.2628914118,2.0822818279,0.0140697258
2480,1.2629655600,2.0811834335,0.0139427492
2490,1.2632895708,2.0807271004,0.0136301843
2500,1.2634032965,2.0805096626,0.0133728040
2510,1.2637414932,2.0802023411,0.0129603492
2520,1.2638844252,2.0804331303,0.0128884139
2530,1.2636166811,2.0814387798,0.0130962254
2540,1.2638812065,2.0811531544,0.0131817106
2550,1.2645959854,2.0816514492,0.0128909582
2560,1.2712315321,2.0789871216,0.0225237124
2570,1.2725826502,2.0769796371,0.0419573188
2580,1.2733361721,2.0751562119,0.0552917123
2590,1.2748973370,2.0764043331,0.0846054778
2600,1.2810517550,2.0807209015,0.0664546341
2610,1.2826063633,2.0797185898,0.0897937194
2620,1.2824286222,2.0792610645,0.1077850983
2630,1.2890808582,2.0760459900,0.1307443082
2640,1.2907085419,2.0759696960,0.1398033053
2650,1.2847954035,2.0785479546,0.1151222438
2660,1.2844165564,2.0842664242,0.1159246936
2670,1.2843132019,2.0863447189,0.1221017316
2680,1.2758824825,2.0961122513,0.0877720565
2690,1.2708332539,2.0980815887,0.0695928782
2700,1.2696768045,2.0982725620,0.0892817378
2710,1.2697325945,2.0989158154,0.1038878486
2720,1.2704914808,2.1011157036,0.1086901650
2730,1.2702515125,2.1010937691,0.1110396609
2740,1.2704833746,2.0965907574,0.0879630521
2750,1.2704478502,2.0954744816,0.0868691057
2760,1.2707066536,2.0951495171,0.0862401575
2770,1.2706519365,2.0944843292,0.0879138038
2780,1.2710665464,2.0918774605,0.0657684281
2790,1.2710944414,2.0918345451,0.0655367300
2800,1.2710918188,2.0916769505,0.0652791262
2810,1.2710384130,2.0914397240,0.0650131553
2820,1.2709739208,2.0915493965,0.0651980788
2830,1.2710717916,2.0903978348,0.0449525714
2840,1.2711383104,2.0898332596,0.0436428525
2850,1.2708696127,2.0903725624,0.0424219295
2860,1.2705264091,2.0896716118,0.0412282459
2870,1.2707469463,2.0893712044,0.0295301508
2880,1.2700653076,2.0893428326,0.0276727322
2890,1.2700692415,2.0884039402,0.0258694254
2900,1.2695077658,2.0885109901,0.0239626132
2910,1.2696223259,2.0884308815,0.0223375242
2920,1.2689695358,2.0878946781,0.0177486688
2930,1.2686389685,2.0881164074,0.0158224553
2940,1.2682603598,2.0873739719,0.0144015402
2950,1.2677341700,2.0868465900,0.0130242771
2961,1.2740958929,2.0854837894,0.0018081006
2970,1.2747545242,2.0848431587,0.0091370763
2980,1.2749989033,2.0851953030,0.0102553088
2990,1.2749642134,2.0858500004,0.0169797055
3000,1.2728216648,2.0875186920,0.0086181089
3010,1.2707989216,2.0871870518,0.0026689782
3020,1.2702449560,2.0875866413,0.0022000093
3030,1.2722027302,2.0853507519,0.0221351609
3040,1.2722014189,2.0855474472,0.0256464723
3050,1.2712546587,2.0861167908,0.0175408423
3060,1.2696189880,2.0864660740,0.0155354813
3070,1.2681424618,2.0878560543,0.0106178261
3080,1.2721939087,2.0858848095,0.0432528257
3090,1.2734262943,2.0849328041,0.0306539293
3100,1.2685171366,2.0816204548,0.0306698848
3110,1.2670499086,2.0804703236,0.0321230479
3120,1.2651591301,2.0794792175,0.0362393670
3130,1.2633451223,2.0784127712,0.0379085168
3140,1.2620283365,2.0771121979,0.0358534716
3150,1.2616803646,2.0780241489,0.0454289913
3160,1.2641443014,2.0794289112,0.0430738553
3170,1.2652406693,2.0804724693,0.0392429233
3180,1.2642281055,2.0802423954,0.0423246399
3190,1.2639379501,2.0803656578,0.0437716655
3200,1.2619161606,2.0812523365,0.0435819477
3210,1.2607878447,2.0806601048,0.0484499224
3220,1.2598502636,2.0804028511,0.0462374017
3230,1.2595759630,2.0794169903,0.0482183620
3240,1.2567526102,2.0804018974,0.0514436215
3251,1.2555660009,2.0805263519,0.0524354503
3260,1.2550613880,2.0813007355,0.0557743870
3270,1.2545351982,2.0826530457,0.0561384931
3280,1.2536885738,2.0822608471,0.0570090413
3291,1.2543385029,2.0827422142,0.0585925914
3300,1.2535334826,2.0829970837,0.0593121052
3310,1.2551636696,2.0814204216,0.0617930740
3320,1.2510379553,2.0827167034,0.0717408732
3331,1.2511160374,2.0830349922,0.0744171068
3340,1.2505273819,2.0838875771,0.0755055696
3350,1.2513499260,2.0833857059,0.0769143105
3360,1.2505862713,2.0830972195,0.0751983598
3370,1.2502139807,2.0830326080,0.0764583349
3380,1.2497988939,2.0832426548,0.0771297142
3390,1.2497346401,2.0836510658,0.0774915218
3400,1.2503528595,2.0848615170,0.0767847672
3411,1.2501764297,2.0849778652,0.0770061761
3420,1.2498973608,2.0851950645,0.0771305859
3430,1.2496734858,2.0847544670,0.0771283284
3440,1.2498751879,2.0854656696,0.0757919028
3450,1.2497731447,2.0848016739,0.0756037682
3460,1.2501553297,2.0850603580,0.0752550885
3470,1.2498265505,2.0851788521,0.0750039890
3480,1.2497373819,2.0852856636,0.0745646432
3490,1.2494231462,2.0852713585,0.0717408285
3500,1.2490923405,2.0852758884,0.0710527152
3510,1.2492994070,2.0849907398,0.0703633353
3520,1.2493600845,2.0852081776,0.0696185678
3530,1.2491264343,2.0842144489,0.0687084645
3540,1.2488994598,2.0848627090,0.0679062009
3550,1.2491739988,2.0833499432,0.0670179278
3560,1.2506490946,2.0828580856,0.0662605613
3570,1.2502118349,2.0819482803,0.0665018260
3580,1.2503834963,2.0813889503,0.0622514039
3590,1.2500690222,2.0821287632,0.0628682524
3600,1.2497574091,2.0824310780,0.0615801886
3610,1.2500838041,2.0825476646,0.0600662678
3621,1.2491714954,2.0821194649,0.0557081625
3630,1.2494345903,2.0819504261,0.0551286377
3640,1.2495073080,2.0826938152,0.0535110012
3650,1.2494714260,2.0828483105,0.0530258194
3660,1.2494839430,2.0831267834,0.0521386303
3670,1.2473264933,2.0828697681,0.0528330952
3680,1.2477571964,2.0828855038,0.0532828420
3690,1.2498059273,2.0806543827,0.0615737811
3701,1.2467385530,2.0797338486,0.0588988923
3710,1.2457526922,2.0792224407,0.0548003651
3720,1.2458984852,2.0799367428,0.0616972633
3730,1.2454795837,2.0798425674,0.0625349358
3740,1.2448118925,2.0800204277,0.0624888614
3750,1.2443435192,2.0800359249,0.0557902716
3760,1.2442182302,2.0809085369,0.0545927212
3770,1.2434705496,2.0807597637,0.0564841218
3780,1.2434791327,2.0808668137,0.0567404144
3791,1.2426019907,2.0812411308,0.0573412813
3800,1.2422003746,2.0806407928,0.0528981425
3810,1.2418382168,2.0822143555,0.0526002571
3820,1.2414847612,2.0829262733,0.0521252602
3830,1.2408130169,2.0835952759,0.0517939590
3840,1.2407535315,2.0835809708,0.0488117337
3851,1.2407230139,2.0831785202,0.0487272963
3862,1.2403389215,2.0834579468,0.0520627573
3870,1.2398602962,2.0840845108,0.0521902554
3881,1.2396609783,2.0848677158,0.0471132994
3890,1.2394956350,2.0849511623,0.0486039259
3901,1.2388525009,2.0849845409,0.0490916707
3910,1.2392789125,2.0857541561,0.0492144153
3924,1.2388083935,2.0857164860,0.0496060736
3932,1.2385134697,2.0855412483,0.0465366878
3942,1.2384448051,2.0859990120,0.0466995388
3950,1.2381504774,2.0857791901,0.0468074493
3962,1.2388321161,2.0853359699,0.0468934327
3971,1.2388138771,2.0851633549,0.0463442616
3981,1.2389969826,2.0849580765,0.0465176105
3991,1.2391266823,2.0843479633,0.0463136174
4002,1.2392898798,2.0848526955,0.0474372990
4011,1.2393057346,2.0848255157,0.0478044860
4021,1.2392216921,2.0838470459,0.0494566336
4030,1.2394535542,2.0829591751,0.0489516966
4042,1.2373182774,2.0839335918,0.0565665737
4050,1.2373559475,2.0842068195,0.0565543883
4060,1.2370734215,2.0836541653,0.0593011864
