Time,X,Y,Z,DiffX,DiffY,DiffZ,Zrange,Gas1L,Gas1R
1630,0.0935116783,-0.0578036159,0.0155465994,0.0005544424,-0.0010015033,-0.0010420904,18,19681,19976
1640,0.0935139656,-0.0578101315,0.0154580334,0.0005567297,-0.0010080189,-0.0011306563,18,19681,19976
1650,0.0935179666,-0.0578140840,0.0153624294,0.0005607307,-0.0010119714,-0.0012262603,18,19681,19976
1660,0.0935210884,-0.0578201599,0.0152603928,0.0005638525,-0.0010180473,-0.0013282970,16,19681,19976
1670,0.0935255438,-0.0578266941,0.0154600432,0.0005683079,-0.0010245815,-0.0011286465,16,19681,19976
1680,0.0935280547,-0.0578332692,0.0153620532,0.0005708188,-0.0010311566,-0.0012266366,16,19681,19976
1690,0.0935302600,-0.0578383096,0.0152565185,0.0005730242,-0.0010361969,-0.0013321713,16,19681,19982
1700,0.0935326591,-0.0578436218,0.0151428189,0.0005754232,-0.0010415092,-0.0014458708,16,19681,19982
1710,0.0935386494,-0.0578487888,0.0153646572,0.0005814135,-0.0010466762,-0.0012240326,16,19681,19982
1720,0.0935407430,-0.0578552485,0.0152531825,0.0005835071,-0.0010531358,-0.0013355073,16,19681,19982
1730,0.0935458988,-0.0578627512,0.0151355946,0.0005886629,-0.0010606386,-0.0014530951,16,19681,19982
1740,0.0935490131,-0.0578695200,0.0150134172,0.0005917773,-0.0010674074,-0.0015752725,16,19681,19982
1750,0.0935689658,-0.0578785352,0.0168379955,0.0006117299,-0.0010764226,0.0002493057,20,19681,19982
1760,0.0935696363,-0.0578840263,0.0168041140,0.0006124005,-0.0010819137,0.0002154242,20,19681,19982
1770,0.0935714096,-0.0578888953,0.0167636499,0.0006141737,-0.0010867827,0.0001749601,20,19681,19982
1780,0.0935752168,-0.0578960218,0.0167158861,0.0006179810,-0.0010939091,0.0001271963,20,19681,19982
1790,0.0935770199,-0.0579031296,0.0166615713,0.0006197840,-0.0011010170,0.0000728816,17,19681,19982
1800,0.0935813561,-0.0579070933,0.0167422332,0.0006241202,-0.0011049807,0.0001535434,17,19681,19982
1810,0.0929550827,-0.0568101555,0.2999969125,-0.0000021532,-0.0000080429,0.2834082227,17,19681,19982
1820,0.0929477438,-0.0568224788,0.3129240572,-0.0000094920,-0.0000203662,0.2963353675,17,19681,19982
1830,0.0929370970,-0.0568410605,0.3326619864,-0.0000201389,-0.0000389479,0.3160732966,17,19681,19982
1840,0.0929640085,-0.0568122454,0.0179835036,0.0000067726,-0.0000101328,0.0013948139,18,19681,19982
1850,0.0929715708,-0.0568089299,0.0179549530,0.0000143349,-0.0000068173,0.0013662633,18,19681,19982
1860,0.0929744318,-0.0568085723,0.0179179013,0.0000171959,-0.0000064597,0.0013292115,18,19681,19982
1870,0.0929774940,-0.0568123683,0.0178727154,0.0000202581,-0.0000102557,0.0012840256,18,19681,19982
1880,0.0929793864,-0.0568170398,0.0158550013,0.0000221506,-0.0000149272,-0.0007336885,14,19681,19982
1890,0.0929774791,-0.0568219908,0.0157736354,0.0000202432,-0.0000198781,-0.0008150544,14,19681,19982
1900,0.0929751545,-0.0568305552,0.0156869963,0.0000179186,-0.0000284426,-0.0009016935,14,19681,19982
1910,0.0929732770,-0.0568378754,0.0155942775,0.0000160411,-0.0000357628,-0.0009944122,14,19681,19982
1920,0.0929745585,-0.0568464696,0.0154952975,0.0000173226,-0.0000443570,-0.0010933923,14,19681,19982
1930,0.0929723382,-0.0568540283,0.0163718369,0.0000151023,-0.0000519156,-0.0002168529,18,19667,19982
1940,0.0929721892,-0.0568608157,0.0162913855,0.0000149533,-0.0000587031,-0.0002973042,18,19667,19982
1950,0.0929723233,-0.0568673313,0.0162051525,0.0000150874,-0.0000652187,-0.0003835373,18,19667,19982
1960,0.0929706395,-0.0568740815,0.0161121059,0.0000134036,-0.0000719689,-0.0004765838,18,19667,19982
1970,0.0929688662,-0.0568806194,0.0163349565,0.0000116304,-0.0000785068,-0.0002537332,17,19667,19982
1980,0.0929661319,-0.0568869151,0.0162435938,0.0000088960,-0.0000848025,-0.0003450960,17,19667,19982
1990,0.0929660574,-0.0568934642,0.0161439423,0.0000088215,-0.0000913516,-0.0004447475,17,19667,19982
2000,0.0929656774,-0.0568993092,0.0160361417,0.0000084415,-0.0000971965,-0.0005525481,17,19667,19982
2010,0.0929651335,-0.0569059402,0.0159218740,0.0000078976,-0.0001038276,-0.0006668158,16,19667,19982
2020,0.0929645821,-0.0569093041,0.0158335250,0.0000073463,-0.0001071915,-0.0007551648,16,19667,19982
2030,0.0929655954,-0.0569134019,0.0157104116,0.0000083596,-0.0001112893,-0.0008782782,16,19667,19982
2040,0.0929648206,-0.0569180772,0.0155807659,0.0000075847,-0.0001159646,-0.0010079239,16,19667,19982
2050,0.0929662436,-0.0569246262,0.0154437441,0.0000090078,-0.0001225136,-0.0011449456,16,19667,19982
2060,0.0929722860,-0.0569221191,0.0167443920,0.0000150502,-0.0001200065,0.0001557022,19,19667,19982
2070,0.0929725915,-0.0569268316,0.0166766346,0.0000153556,-0.0001247190,0.0000879448,19,19667,19982
