Time,X,Y,Z
2910,1.1645207405,1.6898056269,0.0282942262
2920,1.1633114815,1.6909444332,0.0180751700
2930,1.1620391607,1.6909638643,0.0204163399
2940,1.1617823839,1.6888384819,0.0276849139
2950,1.1639863253,1.6857959032,0.0221759249
2960,1.1571048498,1.6859127283,0.0293481965
2970,1.1568639278,1.6861951351,0.0482660457
2980,1.1560026407,1.6850473881,0.0490675904
2990,1.1576772928,1.6844264269,0.0524224006
3000,1.1585649252,1.6846522093,0.0527422652
3010,1.1605174541,1.6859583855,0.0352784656
3020,1.1668845415,1.6857970953,0.0220473241
3030,1.1671347618,1.6863787174,0.0201414265
3040,1.1674667597,1.6874315739,0.0234891791
3050,1.1689478159,1.6877158880,0.0157483369
3060,1.1696788073,1.6887145042,0.0163275916
3070,1.1717077494,1.6884186268,0.0145361973
3080,1.1721725464,1.6917440891,0.0121412110
3090,1.1750086546,1.6922695637,0.0148860337
3100,1.1789628267,1.6920145750,0.0147514315
3110,1.1828470230,1.6932501793,0.0118920151
3120,1.1863960028,1.6931874752,0.0160405133
3130,1.1887617111,1.6941109896,0.0152743869
3140,1.1903147697,1.6946796179,0.0187766738
3150,1.1941500902,1.6956671476,0.0193447433
3160,1.1949448586,1.6986688375,0.0224014800
3170,1.1983029842,1.6980615854,0.0233175475
3180,1.1984467506,1.6979438066,0.0220974889
3190,1.2001515627,1.6986978054,0.0237497482
3200,1.2001563311,1.6980046034,0.0239635017
3210,1.1992684603,1.6983133554,0.0229996331
3220,1.1990249157,1.6982258558,0.0228014365
3230,1.2038420439,1.6988122463,0.0334433690
3240,1.2042808533,1.6982156038,0.0377223715
3250,1.2043417692,1.6980545521,0.0406869650
3260,1.2035994530,1.7003965378,0.0434752218
3270,1.2027497292,1.7012469769,0.0408779830
3280,1.2026253939,1.7012224197,0.0443941541
3290,1.2025414705,1.7014418840,0.0471409373
3300,1.2023108006,1.7012495995,0.0491545908
3310,1.2053835392,1.7014238834,0.0556003228
3320,1.2040382624,1.7085711956,0.0700301677
3330,1.2051391602,1.7092649937,0.0830493495
3340,1.2047637701,1.7087910175,0.0928973705
3350,1.2059639692,1.7098358870,0.0972044393
3360,1.2065676451,1.7070852518,0.0979089364
3370,1.2075655460,1.7045885324,0.0997087210
3380,1.2062617540,1.7126119137,0.1225393265
3390,1.2048051357,1.7149709463,0.1356060058
3400,1.2035331726,1.7160972357,0.1397424489
3410,1.2050961256,1.7135602236,0.1216978580
3420,1.2050144672,1.7126530409,0.1239566207
3430,1.2034286261,1.7118130922,0.1250337213
3440,1.2036031485,1.7115069628,0.1279008836
3450,1.2063767910,1.7098258734,0.1142764539
3460,1.2059811354,1.7079395056,0.1129769832
3470,1.2082501650,1.7053220272,0.1150363311
3480,1.2079819441,1.7054919004,0.1165900454
3490,1.2093374729,1.7046587467,0.1016952693
3500,1.2095777988,1.7039270401,0.1011190936
3510,1.2092747688,1.7042342424,0.1024315730
3520,1.2079050541,1.7001532316,0.1012094691
3530,1.2072468996,1.7005876303,0.1073331088
3540,1.2078503370,1.7031143904,0.0967041701
3550,1.2069264650,1.7025563717,0.0959390700
3560,1.2063070536,1.7014687061,0.0948830321
3570,1.2055219412,1.7034801245,0.0963107944
3580,1.2069060802,1.7027562857,0.0894296616
3590,1.2072600126,1.6999728680,0.0883911103
3600,1.2079055309,1.7013636827,0.0877865404
3610,1.2077882290,1.6990898848,0.0877712369
3620,1.2090615034,1.6967926025,0.0866436362
3630,1.2080197334,1.6935688257,0.0885967240
3640,1.2076580524,1.6932916641,0.0916875675
3650,1.2068079710,1.6930259466,0.0921083242
3660,1.2059518099,1.6924765110,0.0922068059
3670,1.2052950859,1.6918171644,0.0862510279
3680,1.2051633596,1.6906435490,0.0868632495
3690,1.2073121071,1.6884325743,0.0883426368
3700,1.2068449259,1.6884665489,0.0889278576
3710,1.2061040401,1.6877300739,0.0852739587
3720,1.2057085037,1.6867913008,0.0858273134
3730,1.2050608397,1.6860011816,0.0869896859
3740,1.2053301334,1.6851803064,0.0883468613
3750,1.2044839859,1.6867384911,0.0893670395
3760,1.2046344280,1.6866798401,0.0913454816
3770,1.2033951283,1.6867173910,0.0931726247
3780,1.2028001547,1.6871036291,0.0946384594
