Time,X,Y,Z,DiffX,DiffY,DiffZ,Zrange,Gas1L,Gas1R
950,0.0034115347,-0.0027881248,0.0373169743,0.0034115347,-0.0027881248,0.0373169743,22,19912,20434
960,0.0034278105,-0.0029279848,0.0307987984,0.0034278105,-0.0029279848,0.0307987984,18,19912,20434
970,0.0034189133,-0.0038320979,0.0311714169,0.0034189133,-0.0038320979,0.0311714169,18,19912,20434
980,0.0034148546,-0.0040724282,0.0309572760,0.0034148546,-0.0040724282,0.0309572760,18,19912,20434
990,0.0043330649,-0.0040848725,0.0309253596,0.0043330649,-0.0040848725,0.0309253596,18,19912,20434
1000,-0.0007135162,-0.0005359433,-0.0000028007,-0.0007135162,-0.0005359433,-0.0000028007,22,19912,20434
1010,-0.0009114621,0.0012320913,0.0386811271,-0.0009114621,0.0012320913,0.0386811271,22,19912,20434
1020,-0.0012534435,0.0010987544,0.0475666188,-0.0012534435,0.0010987544,0.0475666188,22,19912,20434
1030,-0.0005888672,0.0004338361,0.0504197404,-0.0005888672,0.0004338361,0.0504197404,22,19912,20434
1040,-0.0010658735,0.0001947852,0.0520832911,-0.0010658735,0.0001947852,0.0520832911,22,19912,20434
1050,-0.0008526625,-0.0011296838,0.0358051211,-0.0008526625,-0.0011296838,0.0358051211,21,19912,20434
1060,-0.0001547468,0.0000651334,0.0411144011,-0.0001547468,0.0000651334,0.0411144011,21,19912,20434
1070,0.0011211815,-0.0001764344,0.0393884294,0.0011211815,-0.0001764344,0.0393884294,21,19912,20434
1080,-0.0007912878,-0.0002345383,0.0487606600,-0.0007912878,-0.0002345383,0.0487606600,21,19912,20434
1090,-0.0008476243,-0.0004304931,0.0388652384,-0.0008476243,-0.0004304931,0.0388652384,19,19912,20434
1100,-0.0000889611,-0.0001915323,0.0397884957,-0.0000889611,-0.0001915323,0.0397884957,19,19912,20434
1110,0.0013941106,-0.0001832877,0.0388733968,0.0013941106,-0.0001832877,0.0388733968,19,19912,20434
1120,0.0005443909,0.0002542998,0.0432453752,0.0005443909,0.0002542998,0.0432453752,19,19912,20434
1130,0.0010855629,-0.0005022977,0.0445711948,0.0010855629,-0.0005022977,0.0445711948,21,19912,20434
1140,0.0003845483,0.0000649053,0.0365340859,0.0003845483,0.0000649053,0.0365340859,21,19912,20434
1150,0.0011480433,-0.0004338632,0.0370947719,0.0011480433,-0.0004338632,0.0370947719,21,19912,20434
1160,0.0004498301,-0.0006955875,0.0373856127,0.0004498301,-0.0006955875,0.0373856127,21,19912,20434
1170,-0.0000389025,-0.0009346469,0.0364877433,-0.0000389025,-0.0009346469,0.0364877433,21,19912,20444
1180,0.0014449222,-0.0009212062,0.0336919054,0.0014449222,-0.0009212062,0.0336919054,20,19912,20444
1190,0.0014786341,-0.0004944013,0.0366868973,0.0014786341,-0.0004944013,0.0366868973,20,19912,20444
1200,-0.0006431283,-0.0002610805,0.0365191400,-0.0006431283,-0.0002610805,0.0365191400,20,19912,20444
1210,-0.0006195239,0.0006777140,0.0374387689,-0.0006195239,0.0006777140,0.0374387689,20,19912,20444
1220,-0.0002686471,-0.0004441926,0.0341797918,-0.0002686471,-0.0004441926,0.0341797918,18,19912,20444
1230,0.0002146019,-0.0002120698,0.0341808125,0.0002146019,-0.0002120698,0.0341808125,18,19912,20444
1240,-0.0006915273,0.0007200916,0.0350706689,-0.0006915273,0.0007200916,0.0350706689,18,19912,20444
1250,-0.0006715627,0.0004818326,0.0360798575,-0.0006715627,0.0004818326,0.0360798575,18,19912,20444
1260,0.0012429946,-0.0004685040,0.0373977721,0.0012429946,-0.0004685040,0.0373977721,18,19912,20444
1270,-0.0001444042,-0.0007008416,0.0362496786,-0.0001444042,-0.0007008416,0.0362496786,22,19912,20444
1280,-0.0005790114,0.0004544370,0.0376857743,-0.0005790114,0.0004544370,0.0376857743,22,19912,20444
1290,0.0014112187,-0.0010140920,0.0429950692,0.0014112187,-0.0010140920,0.0429950692,22,19912,20444
1300,0.0000084341,-0.0000851733,0.0537455939,0.0000084341,-0.0000851733,0.0537455939,22,19912,20444
1310,0.0012830402,-0.0008048513,0.0453942642,0.0012830402,-0.0008048513,0.0453942642,18,19912,20444
1320,0.0018133834,-0.0005944385,0.0481689535,0.0018133834,-0.0005944385,0.0481689535,18,19912,20444
1330,-0.0002672856,-0.0004042925,0.0523541719,-0.0002672856,-0.0004042925,0.0523541719,18,19912,20444
1340,0.0010656137,-0.0004782662,0.0586769059,0.0010656137,-0.0004782662,0.0586769059,18,19912,20444
1350,0.0010656137,-0.0004782662,0.0586769059,0.0010656137,-0.0004782662,0.0586769059,22,19912,20444
1360,0.0005783893,-0.0010810843,0.0458333381,0.0005783893,-0.0010810843,0.0458333381,22,19912,20444
1370,-0.0001537193,0.0001469437,0.0463216007,-0.0001537193,0.0001469437,0.0463216007,22,19912,20444
1380,0.0001503990,-0.0011384875,0.0504725948,0.0001503990,-0.0011384875,0.0504725948,22,19912,20444
1390,0.0013229314,-0.0008484834,0.0517303869,0.0013229314,-0.0008484834,0.0517303869,22,19912,20444
1400,0.0005676779,-0.0007963175,0.0425296165,0.0005676779,-0.0007963175,0.0425296165,22,19912,20444
1410,-0.0001587963,-0.0002149802,0.0422105677,-0.0001587963,-0.0002149802,0.0422105677,22,19912,20444
1420,-0.0004094259,-0.0003075904,0.0430996530,-0.0004094259,-0.0003075904,0.0430996530,22,19904,20444
1430,-0.0002593518,-0.0001715153,0.0432591587,-0.0002593518,-0.0001715153,0.0432591587,22,19904,20444
1440,0.0020222710,-0.0014725523,0.0346399769,0.0020222710,-0.0014725523,0.0346399769,19,19904,20444
1450,0.0006132045,-0.0004168131,0.0446668118,0.0006132045,-0.0004168131,0.0446668118,19,19904,20444
1460,0.0016455721,-0.0003311200,0.0450981446,0.0016455721,-0.0003311200,0.0450981446,19,19904,20444
1470,0.0014196978,-0.0010837633,0.0464951433,0.0014196978,-0.0010837633,0.0464951433,19,19904,20444
1480,0.0006947303,-0.0006013069,0.0476993658,0.0006947303,-0.0006013069,0.0476993658,21,19904,20444
1490,0.0005715703,-0.0002545723,0.0366603881,0.0005715703,-0.0002545723,0.0366603881,21,19904,20444
1500,0.0008223947,-0.0002578889,0.0365225561,0.0008223947,-0.0002578889,0.0365225561,21,19904,20444
1510,-0.0001580402,0.0007270762,0.0357615799,-0.0001580402,0.0007270762,0.0357615799,21,19904,20444
1520,-0.0003939650,0.0002347405,0.0370038785,-0.0003939650,0.0002347405,0.0370038785,21,19904,20444
1530,-0.0002406092,0.0008997764,0.0307026915,-0.0002406092,0.0008997764,0.0307026915,20,19904,20444
1540,0.0000707772,0.0009843281,0.0307636876,0.0000707772,0.0009843281,0.0307636876,20,19904,20444
1550,-0.0001081892,0.0005200858,0.0308772791,-0.0001081892,0.0005200858,0.0308772791,20,19904,20444
1560,-0.0004083968,0.0000365518,0.0290662032,-0.0004083968,0.0000365518,0.0290662032,20,19904,20444
1570,0.0010382900,-0.0011714778,0.0228919238,0.0010382900,-0.0011714778,0.0228919238,18,19904,20444
1580,0.0015193718,-0.0011818897,0.0227284152,0.0015193718,-0.0011818897,0.0227284152,18,19904,20444
1590,-0.0003394004,-0.0002781091,0.0287360474,-0.0003394004,-0.0002781091,0.0287360474,18,19904,20444
1600,0.0015536665,-0.0003218855,0.0333361886,0.0015536665,-0.0003218855,0.0333361886,18,19904,20444
1610,-0.0003020955,0.0001070569,0.0385135785,-0.0003020955,0.0001070569,0.0385135785,19,19904,20444
1620,-0.0003327459,-0.0005540968,0.0318335518,-0.0003327459,-0.0005540968,0.0318335518,19,19904,20444
1630,-0.0003341442,0.0001501311,0.0321312211,-0.0003341442,0.0001501311,0.0321312211,19,19904,20444
1640,-0.0003358969,0.0006272015,0.0315544568,-0.0003358969,0.0006272015,0.0315544568,19,19904,20444
1650,0.0003600965,-0.0005554368,0.0336934514,0.0003600965,-0.0005554368,0.0336934514,19,19904,20444
1660,0.0008583506,0.0006323343,0.0295835119,0.0008583506,0.0006323343,0.0295835119,21,19904,20444
1670,-0.0003075817,-0.0000816494,0.0322373696,-0.0003075817,-0.0000816494,0.0322373696,21,19904,20439
1680,0.0006299596,-0.0003215282,0.0332548022,0.0006299596,-0.0003215282,0.0332548022,21,19904,20439
1690,0.0015798600,0.0001444864,0.0326702148,0.0015798600,0.0001444864,0.0326702148,21,19904,20439
1700,0.0016592315,-0.0007268288,0.0277484022,0.0016592315,-0.0007268288,0.0277484022,19,19904,20439
1710,-0.0001925384,0.0010476753,0.0354538523,-0.0001925384,0.0010476753,0.0354538523,19,19904,20439
1720,0.0000468323,-0.0002620514,0.0408821926,0.0000468323,-0.0002620514,0.0408821926,19,19904,20439
1730,0.0017001263,-0.0004043022,0.0458173528,0.0017001263,-0.0004043022,0.0458173528,19,19904,20439
1740,0.0002703432,-0.0003710276,0.0512114055,0.0002703432,-0.0003710276,0.0512114055,19,19904,20439
1750,0.0005213660,-0.0011977503,0.0406339839,0.0005213660,-0.0011977503,0.0406339839,21,19904,20439
1760,0.0017073631,-0.0004287945,0.0442641042,0.0017073631,-0.0004287945,0.0442641042,21,19904,20439
1770,0.0007755436,-0.0004618749,0.0472864360,0.0007755436,-0.0004618749,0.0472864360,21,19904,20439
1780,0.0007777833,-0.0004665028,0.0478223450,0.0007777833,-0.0004665028,0.0478223450,21,19904,20439
1790,0.0018156382,-0.0009351654,0.0394900925,0.0018156382,-0.0009351654,0.0394900925,24,19904,20439
1800,-0.0001684870,-0.0009349554,0.0453953482,-0.0001684870,-0.0009349554,0.0453953482,24,19904,20439
1810,0.0015239824,-0.0009516794,0.0517481342,0.0015239824,-0.0009516794,0.0517481342,24,19904,20439
1820,0.0010669890,-0.0007993577,0.0549160317,0.0010669890,-0.0007993577,0.0549160317,24,19904,20439
1830,-0.0001581437,0.0004328088,0.0544423722,-0.0001581437,0.0004328088,0.0544423722,19,19904,20439
1840,-0.0002138517,0.0005814414,0.0403346159,-0.0002138517,0.0005814414,0.0403346159,19,19904,20439
1850,0.0017503186,-0.0006911774,0.0455940329,0.0017503186,-0.0006911774,0.0455940329,19,19904,20439
1860,-0.0001937968,0.0000075079,0.0510727093,-0.0001937968,0.0000075079,0.0510727093,19,19904,20439
1870,0.0012809071,-0.0012745360,0.0572915711,0.0012809071,-0.0012745360,0.0572915711,19,19904,20439
1880,0.0012936890,-0.0011869058,0.0431093015,0.0012936890,-0.0011869058,0.0431093015,20,19904,20439
1890,0.0010678167,0.0002574308,0.0472559072,0.0010678167,0.0002574308,0.0472559072,20,19904,20439
1900,0.0016239516,-0.0002414355,0.0481668562,0.0016239516,-0.0002414355,0.0481668562,20,19904,20439
1910,0.0010742915,-0.0007476042,0.0491916835,0.0010742915,-0.0007476042,0.0491916835,20,19904,20439
